S.No	disease_name	microbe_scientific_name	tax_rank_name	microbe_ncbi_tax_id	experimental_method_name	samples_origin_name	relationship_name	subjects_number	subjects_group_one	subjects_group_two	mean_age_group_one	mean_age_group_two	males_number	females_number	group_one	group_two	disease_type_name	disease_subtype	disease_mesh_id	disease_mesh_heading	host_species_name	publication_PMID	publication_doi	publication_first_author	publication_corresponding_author_mail	publication_title	publication_journal	publication_year	comments	microbe_com_contaminant
28	Crohn Disease	Clostridiaceae	Family	31979	PCR-DGGE	Intestine mucosa tissue	Increased	34	19	15	36.7	48.5	14	20	Crohn Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003424	Crohn Disease	Homo sapiens	17119388	10.1097/01.mib.0000235828.09305.0c	Margarita Martinez-Medina	jesus.garcia@udg.es	Abnormal Microbiota Composition in the Ileocolonic Mucosa of Crohn's Disease Patients as Revealed by Polymerase Chain Reaction-Denaturing Gradient Gel Electrophoresis	Inflammatory Bowel Diseases	2006	Both ulcerated mucosa and nonulcerated mucosa were sampled in CD patients.Samples were similarly obtained from 2 patients with ulcerative colitis (UC) and one with ischemic colitis (IC).	false
29	Crohn Disease	Clostridium	Genus	1485	PCR-DGGE	Intestine mucosa tissue	Increased	34	19	15	36.7	48.5	14	20	Crohn Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003424	Crohn Disease	Homo sapiens	17119388	10.1097/01.mib.0000235828.09305.0c	Margarita Martinez-Medina	jesus.garcia@udg.es	Abnormal Microbiota Composition in the Ileocolonic Mucosa of Crohn's Disease Patients as Revealed by Polymerase Chain Reaction-Denaturing Gradient Gel Electrophoresis	Inflammatory Bowel Diseases	2006	Both ulcerated mucosa and nonulcerated mucosa were sampled in CD patients.Samples were similarly obtained from 2 patients with ulcerative colitis (UC) and one with ischemic colitis (IC).	true
30	Crohn Disease	Enterobacteriaceae	Family	543	PCR-DGGE	Intestine mucosa tissue	Increased	34	19	15	36.7	48.5	14	20	Crohn Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003424	Crohn Disease	Homo sapiens	17119388	10.1097/01.mib.0000235828.09305.0c	Margarita Martinez-Medina	jesus.garcia@udg.es	Abnormal Microbiota Composition in the Ileocolonic Mucosa of Crohn's Disease Patients as Revealed by Polymerase Chain Reaction-Denaturing Gradient Gel Electrophoresis	Inflammatory Bowel Diseases	2006	Both ulcerated mucosa and nonulcerated mucosa were sampled in CD patients.Samples were similarly obtained from 2 patients with ulcerative colitis (UC) and one with ischemic colitis (IC).	false
31	Crohn Disease	Faecalibacterium	Genus	216851	PCR-DGGE	Intestine mucosa tissue	Decreased	34	19	15	36.7	48.5	14	20	Crohn Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003424	Crohn Disease	Homo sapiens	17119388	10.1097/01.mib.0000235828.09305.0c	Margarita Martinez-Medina	jesus.garcia@udg.es	Abnormal Microbiota Composition in the Ileocolonic Mucosa of Crohn's Disease Patients as Revealed by Polymerase Chain Reaction-Denaturing Gradient Gel Electrophoresis	Inflammatory Bowel Diseases	2006	Both ulcerated mucosa and nonulcerated mucosa were sampled in CD patients.Samples were similarly obtained from 2 patients with ulcerative colitis (UC) and one with ischemic colitis (IC).	false
32	Crohn Disease	Faecalibacterium prausnitzii	Species	853	PCR-DGGE	Intestine mucosa tissue	Decreased	34	19	15	36.7	48.5	14	20	Crohn Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003424	Crohn Disease	Homo sapiens	17119388	10.1097/01.mib.0000235828.09305.0c	Margarita Martinez-Medina	jesus.garcia@udg.es	Abnormal Microbiota Composition in the Ileocolonic Mucosa of Crohn's Disease Patients as Revealed by Polymerase Chain Reaction-Denaturing Gradient Gel Electrophoresis	Inflammatory Bowel Diseases	2006	Both ulcerated mucosa and nonulcerated mucosa were sampled in CD patients. Samples were similarly obtained from 2 patients with ulcerative colitis (UC) and one with ischemic colitis (IC).	false
33	Crohn Disease	Fusobacteria	Phylum	32066	PCR-DGGE	Intestine mucosa tissue	Decreased	34	19	15	36.7	48.5	14	20	Crohn Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003424	Crohn Disease	Homo sapiens	17119388	10.1097/01.mib.0000235828.09305.0c	Margarita Martinez-Medina	jesus.garcia@udg.es	Abnormal Microbiota Composition in the Ileocolonic Mucosa of Crohn's Disease Patients as Revealed by Polymerase Chain Reaction-Denaturing Gradient Gel Electrophoresis	Inflammatory Bowel Diseases	2006	Both ulcerated mucosa and nonulcerated mucosa were sampled in CD patients.Samples were similarly obtained from 2 patients with ulcerative colitis (UC) and one with ischemic colitis (IC).	false
34	Crohn Disease	Fusobacteriaceae	Family	203492	PCR-DGGE	Intestine mucosa tissue	Decreased	34	19	15	36.7	48.5	14	20	Crohn Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003424	Crohn Disease	Homo sapiens	17119388	10.1097/01.mib.0000235828.09305.0c	Margarita Martinez-Medina	jesus.garcia@udg.es	Abnormal Microbiota Composition in the Ileocolonic Mucosa of Crohn's Disease Patients as Revealed by Polymerase Chain Reaction-Denaturing Gradient Gel Electrophoresis	Inflammatory Bowel Diseases	2006	Both ulcerated mucosa and nonulcerated mucosa were sampled in CD patients.Samples were similarly obtained from 2 patients with ulcerative colitis (UC) and one with ischemic colitis (IC).	false
35	Ulcerative Colitis	Asteroleplasma	Genus	2152	16S rRNA sequencing	Stool	Decreased	51	16	35	57	53	17	34	Ulcerative Colitis	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003093	Ulcerative Colitis	Homo sapiens	20816835	10.1053/j.gastro.2010.08.049	Willing BP	lars.engstrand@smi.se	A pyrosequencing study in twins shows that gastrointestinal microbial profiles vary with inflammatory bowel disease phenotypes	Gastroenterology	2010	were studied a set of twin pairs to specifically focus on disease influence in genetically matched individuals	false
36	Crohn Disease	Proteobacteria	Phylum	1224	PCR-DGGE	Intestine mucosa tissue	Increased	34	19	15	36.7	48.5	14	20	Crohn Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003424	Crohn Disease	Homo sapiens	17119388	10.1097/01.mib.0000235828.09305.0c	Margarita Martinez-Medina	jesus.garcia@udg.es	Abnormal Microbiota Composition in the Ileocolonic Mucosa of Crohn's Disease Patients as Revealed by Polymerase Chain Reaction-Denaturing Gradient Gel Electrophoresis	Inflammatory Bowel Diseases	2006	Both ulcerated mucosa and nonulcerated mucosa were sampled in CD patients.Samples were similarly obtained from 2 patients with ulcerative colitis (UC) and one with ischemic colitis (IC).	false
37	Crohn Disease	Bacteroidaceae	Family	815	culture method	Stool	Decreased	33	23	10	null	null	null	null	Crohn Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003424	Crohn Disease	Homo sapiens	17897884	10.1016/j.ijmm.2007.07.016	Hiromasa Takaishi	thibi@sc.itc.keio.ac.jp	Imbalance in intestinal microflora constitution could be involved in the pathogenesis of inflammatory bowel disease	International Journal of Medical Microbiology	2008	null	false
38	Ulcerative Colitis	Bacteroidaceae	Family	815	culture method	Stool	Decreased	83	73	10	null	null	null	null	Ulcerative Colitis	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003093	Ulcerative Colitis	Homo sapiens	17897884	10.1016/j.ijmm.2007.07.016	Hiromasa Takaishi	thibi@sc.itc.keio.ac.jp	Imbalance in intestinal microflora constitution could be involved in the pathogenesis of inflammatory bowel disease	International Journal of Medical Microbiology	2008	null	false
39	Crohn Disease	Bacteroides ovatus	Species	28116	qRT-PCR	Stool	Decreased	88	23	65	37	37	47	41	Crohn Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003424	Crohn Disease	Homo sapiens	17897884	10.1016/j.ijmm.2007.07.016	Hiromasa Takaishi	thibi@sc.itc.keio.ac.jp	Imbalance in intestinal microflora constitution could be involved in the pathogenesis of inflammatory bowel disease	International Journal of Medical Microbiology	2008	null	false
40	Ulcerative Colitis	Bacteroides ovatus	Species	28116	qRT-PCR	Stool	Decreased	138	73	65	48	37	76	62	Ulcerative Colitis	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003093	Ulcerative Colitis	Homo sapiens	17897884	10.1016/j.ijmm.2007.07.016	Hiromasa Takaishi	thibi@sc.itc.keio.ac.jp	Imbalance in intestinal microflora constitution could be involved in the pathogenesis of inflammatory bowel disease	International Journal of Medical Microbiology	2008	null	false
41	Crohn Disease	Phocaeicola vulgatus	Species	821	qRT-PCR	Stool	Decreased	88	23	65	37	37	47	41	Crohn Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003424	Crohn Disease	Homo sapiens	17897884	10.1016/j.ijmm.2007.07.016	Hiromasa Takaishi	thibi@sc.itc.keio.ac.jp	Imbalance in intestinal microflora constitution could be involved in the pathogenesis of inflammatory bowel disease	International Journal of Medical Microbiology	2008	null	false
42	Ulcerative Colitis	Phocaeicola vulgatus	Species	821	qRT-PCR	Stool	Decreased	138	73	65	48	37	76	62	Ulcerative Colitis	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003093	Ulcerative Colitis	Homo sapiens	17897884	10.1016/j.ijmm.2007.07.016	Hiromasa Takaishi	thibi@sc.itc.keio.ac.jp	Imbalance in intestinal microflora constitution could be involved in the pathogenesis of inflammatory bowel disease	International Journal of Medical Microbiology	2008	null	false
43	Crohn Disease	Bifidobacterium	Genus	1678	culture method	Stool	Decreased	33	23	10	null	null	null	null	Crohn Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003424	Crohn Disease	Homo sapiens	17897884	10.1016/j.ijmm.2007.07.016	Hiromasa Takaishi	thibi@sc.itc.keio.ac.jp	Imbalance in intestinal microflora constitution could be involved in the pathogenesis of inflammatory bowel disease	International Journal of Medical Microbiology	2008	null	false
44	Ulcerative Colitis	Bifidobacterium	Genus	1678	culture method	Stool	Decreased	83	73	10	null	null	null	null	Ulcerative Colitis	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003093	Ulcerative Colitis	Homo sapiens	17897884	10.1016/j.ijmm.2007.07.016	Hiromasa Takaishi	thibi@sc.itc.keio.ac.jp	Imbalance in intestinal microflora constitution could be involved in the pathogenesis of inflammatory bowel disease	International Journal of Medical Microbiology	2008	null	false
45	Crohn Disease	Enterococcus	Genus	1350	culture method	Stool	Increased	33	23	10	null	null	null	null	Crohn Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003424	Crohn Disease	Homo sapiens	17897884	10.1016/j.ijmm.2007.07.016	Hiromasa Takaishi	thibi@sc.itc.keio.ac.jp	Imbalance in intestinal microflora constitution could be involved in the pathogenesis of inflammatory bowel disease	International Journal of Medical Microbiology	2008	null	true
46	Ulcerative Colitis	Enterococcus	Genus	1350	culture method	Stool	Increased	83	73	10	null	null	null	null	Ulcerative Colitis	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003093	Ulcerative Colitis	Homo sapiens	17897884	10.1016/j.ijmm.2007.07.016	Hiromasa Takaishi	thibi@sc.itc.keio.ac.jp	Imbalance in intestinal microflora constitution could be involved in the pathogenesis of inflammatory bowel disease	International Journal of Medical Microbiology	2008	null	true
47	Crohn Disease	Lactobacillus	Genus	1578	culture method	Stool	Increased	33	23	10	null	null	null	null	Crohn Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003424	Crohn Disease	Homo sapiens	17897884	10.1016/j.ijmm.2007.07.016	Hiromasa Takaishi	thibi@sc.itc.keio.ac.jp	Imbalance in intestinal microflora constitution could be involved in the pathogenesis of inflammatory bowel disease	International Journal of Medical Microbiology	2008	null	true
48	Ulcerative Colitis	Lactobacillus	Genus	1578	culture method	Stool	Increased	83	73	10	null	null	null	null	Ulcerative Colitis	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003093	Ulcerative Colitis	Homo sapiens	17897884	10.1016/j.ijmm.2007.07.016	Hiromasa Takaishi	thibi@sc.itc.keio.ac.jp	Imbalance in intestinal microflora constitution could be involved in the pathogenesis of inflammatory bowel disease	International Journal of Medical Microbiology	2008	null	true
49	Crohn Disease	Veillonella	Genus	29465	culture method	Stool	Decreased	33	23	10	null	null	null	null	Crohn Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003424	Crohn Disease	Homo sapiens	17897884	10.1016/j.ijmm.2007.07.016	Hiromasa Takaishi	thibi@sc.itc.keio.ac.jp	Imbalance in intestinal microflora constitution could be involved in the pathogenesis of inflammatory bowel disease	International Journal of Medical Microbiology	2008	null	true
50	Ulcerative Colitis	Veillonella	Genus	29465	culture method	Stool	Decreased	83	73	10	null	null	null	null	Ulcerative Colitis	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003093	Ulcerative Colitis	Homo sapiens	17897884	10.1016/j.ijmm.2007.07.016	Hiromasa Takaishi	thibi@sc.itc.keio.ac.jp	Imbalance in intestinal microflora constitution could be involved in the pathogenesis of inflammatory bowel disease	International Journal of Medical Microbiology	2008	null	true
51	Celiac Disease	Atopobium	Genus	1380	FISH	Duodenum mucosa tissue	Increased	30	20	10	5.1	5.6	null	null	Celiac Disease active	Celiac Disease non-active	Gastrointestinal Disorders	undefined	MESH:D002446	Celiac Disease	Homo sapiens	18033837	10.1099/jmm.0.47410-0	Inmaculada Nadal	yolsanz@iata.csic.es	Imbalance in the Composition of the Duodenal Microbiota of Children With Coeliac Disease	Journal of Medical Microbiology	2007	null	true
52	Celiac Disease	Atopobium	Genus	1380	Flow Cytometry	Duodenum mucosa tissue	Decreased	18	10	8	5.6	4.1	null	null	Celiac Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D002446	Celiac Disease	Homo sapiens	18033837	10.1099/jmm.0.47410-0	Inmaculada Nadal	yolsanz@iata.csic.es	Imbalance in the Composition of the Duodenal Microbiota of Children With Coeliac Disease	Journal of Medical Microbiology	2007	CD group consists of specimens of CD patients with non-active disease	true
53	Celiac Disease	Atopobium	Genus	1380	Flow Cytometry	Duodenum mucosa tissue	Increased	30	20	10	5.1	5.6	null	null	Celiac Disease active	Celiac Disease non-active	Gastrointestinal Disorders	undefined	MESH:D002446	Celiac Disease	Homo sapiens	18033837	10.1099/jmm.0.47410-0	Inmaculada Nadal	yolsanz@iata.csic.es	Imbalance in the Composition of the Duodenal Microbiota of Children With Coeliac Disease	Journal of Medical Microbiology	2007	null	true
54	Celiac Disease	Atopobium	Genus	1380	FISH	Duodenum mucosa tissue	Decreased	18	10	8	5.6	4.1	null	null	Celiac Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D002446	Celiac Disease	Homo sapiens	18033837	10.1099/jmm.0.47410-0	Inmaculada Nadal	yolsanz@iata.csic.es	Imbalance in the Composition of the Duodenal Microbiota of Children With Coeliac Disease	Journal of Medical Microbiology	2007	CD group consists of specimens of CD patients with non-active disease	true
